Time,Acc X,Acc Y,Acc Z,Ang Acc X,Ang Acc Y,Ang Acc Z,Disp X,Disp Y,Disp Z,Rot X,Rot Y,Rot z,Vel X,Vel Y,Vel Z,Ang Vel X,Ang Vel Y,Ang Vel Z
13.2317,5.07E-03,0,0,-0.0804878,0,0,0.188112,0,0,0.0326205,0,0,0.0395434,0,0,-0.0195168,0,0
13.3317,5.08E-03,0,0,-0.074701,0,0,0.192092,0,0,0.0302752,0,0,0.0400509,0,0,-0.0272922,0,0
13.4317,5.10E-03,0,0,-0.0670749,0,0,0.196122,0,0,0.0271844,0,0,0.0405602,0,0,-0.0343956,0,0
13.5317,5.12E-03,0,0,-0.0577972,0,0,0.200204,0,0,0.0234243,0,0,0.0410713,0,0,-0.0406521,0,0
13.6317,5.14E-03,0,0,-0.0470963,0,0,0.204337,0,0,0.0190874,0,0,0.0415843,0,0,-0.0459076,0,0
13.7317,5.16E-03,0,0,-0.0352358,0,0,0.208521,0,0,0.0142805,0,0,0.042099,0,0,-0.0500327,0,0
13.8317,5.17E-03,0,0,-0.0225076,0,0,0.212757,0,0,0.00912198,0,0,0.0426154,0,0,-0.0529258,0,0
13.9317,5.19E-03,0,0,-0.00922519,0,0,0.217044,0,0,0.00373883,0,0,0.0431335,0,0,-0.0545157,0,0
14.0317,5.21E-03,0,0,0.00428435,0,0,0.221383,0,0,-0.00173638,0,0,0.0436533,0,0,-0.0547633,0,0
14.1317,5.22E-03,0,0,0.0176884,0,0,0.225775,0,0,-0.00716884,0,0,0.0441748,0,0,-0.0536624,0,0
14.2317,5.24E-03,0,0,0.0306569,0,0,0.230218,0,0,-0.0124248,0,0,0.0446979,0,0,-0.0512401,0,0
14.3317,5.26E-03,0,0,0.0428705,0,0,0.234714,0,0,-0.0173748,0,0,0.0452227,0,0,-0.0475562,0,0
14.4317,5.27E-03,0,0,0.0540285,0,0,0.239263,0,0,-0.0218969,0,0,0.0457489,0,0,-0.0427012,0,0
14.5317,5.29E-03,0,0,0.0638562,0,0,0.243864,0,0,-0.0258799,0,0,0.0462768,0,0,-0.0367948,0,0
14.6317,5.30E-03,0,0,0.0721115,0,0,0.248518,0,0,-0.0292257,0,0,0.0468062,0,0,-0.0299824,0,0
14.7317,5.32E-03,0,0,0.0785911,0,0,0.253225,0,0,-0.0318518,0,0,0.0473371,0,0,-0.0224318,0,0
14.8317,5.33E-03,0,0,0.0831356,0,0,0.257986,0,0,-0.0336936,0,0,0.0478694,0,0,-0.0143288,0,0
14.9317,5.35E-03,0,0,0.0856331,0,0,0.262799,0,0,-0.0347058,0,0,0.0484032,0,0,-0.00587294,0,0
15.0317,5.36E-03,0,0,0.0860219,0,0,0.267666,0,0,-0.0348634,0,0,0.0489385,0,0,0.0027275,0,0
15.1317,5.37E-03,0,0,0.0842926,0,0,0.272587,0,0,-0.0341625,0,0,0.0494751,0,0,0.0112608,0,0
15.2317,5.39E-03,0,0,0.0804878,0,0,0.277562,0,0,-0.0326205,0,0,0.0500131,0,0,0.0195168,0,0
15.3317,5.40E-03,0,0,0.074701,0,0,0.28259,0,0,-0.0302752,0,0,0.0505525,0,0,0.0272922,0,0
15.4317,5.41E-03,0,0,0.0670749,0,0,0.287672,0,0,-0.0271844,0,0,0.0510932,0,0,0.0343956,0,0
15.5317,5.43E-03,0,0,0.0577972,0,0,0.292809,0,0,-0.0234243,0,0,0.0516352,0,0,0.0406521,0,0
15.6317,5.44E-03,0,0,0.0470963,0,0,0.297999,0,0,-0.0190874,0,0,0.0521785,0,0,0.0459076,0,0
15.7317,5.45E-03,0,0,0.0352358,0,0,0.303244,0,0,-0.0142805,0,0,0.052723,0,0,0.0500327,0,0
15.8317,5.46E-03,0,0,0.0225076,0,0,0.308544,0,0,-0.00912198,0,0,0.0532688,0,0,0.0529258,0,0
15.9317,5.48E-03,0,0,0.00922519,0,0,0.313898,0,0,-0.00373883,0,0,0.0538157,0,0,0.0545157,0,0
16.0317,5.49E-03,0.00E+00,0.00E+00,-0.00428435,0,0,0.319307,0,0,0.00173638,0,0,0.0543639,0,0,0.0547633,0,0
16.1317,5.50E-03,0,0,-0.0176884,0,0,0.324771,0,0,0.00716884,0,0,0.0549132,0,0,0.0536624,0,0
16.2317,5.51E-03,0,0,-0.0306569,0,0,0.33029,0,0,0.0124248,0,0,0.0554636,0,0,0.0512401,0,0
16.3317,5.52E-03,0,0,-0.0428705,0,0,0.335864,0,0,0.0173748,0,0,0.0560151,0,0,0.0475562,0,0
16.4317,5.53E-03,0,0,-0.0540285,0,0,0.341493,0,0,0.0218969,0,0,0.0565677,0,0,0.0427012,0,0
16.5317,5.54E-03,0,0,-0.0638562,0,0,0.347177,0,0,0.0258799,0,0,0.0571214,0,0,0.0367948,0,0
16.6317,5.55E-03,0,0,-0.0721115,0,0,0.352917,0,0,0.0292257,0,0,0.0576761,0,0,0.0299824,0,0
16.7317,5.56E-03,0,0,-0.0785911,0,0,0.358712,0,0,0.0318518,0,0,0.0582318,0,0,0.0224318,0,0
16.8317,5.57E-03,0,0,-0.0831356,0,0,0.364563,0,0,0.0336936,0,0,0.0587885,0,0,0.0143288,0,0
16.9317,5.58E-03,0,0,-0.0856331,0,0,0.37047,0,0,0.0347058,0,0,0.0593461,0,0,0.00587294,0,0
17.0317,5.59E-03,0,0,-0.0860219,0,0,0.376433,0,0,0.0348634,0,0,0.0599047,0,0,-0.0027275,0,0
17.1317,5.60E-03,0,0,-0.0842926,0,0,0.382451,0,0,0.0341625,0,0,0.0604642,0,0,-0.0112608,0,0
17.2317,5.61E-03,0,0,-0.0804878,0,0,0.388526,0,0,0.0326205,0,0,0.0610246,0,0,-0.0195168,0,0
17.3317,5.62E-03,0,0,-0.074701,0,0,0.394656,0,0,0.0302752,0,0,0.0615858,0,0,-0.0272922,0,0
17.4317,5.63E-03,0,0,-0.0670749,0,0,0.400843,0,0,0.0271844,0,0,0.0621479,0,0,-0.0343956,0,0
17.5317,5.63E-03,0,0,-0.0577972,0,0,0.407086,0,0,0.0234243,0,0,0.0627108,0,0,-0.0406521,0,0
17.6317,5.64E-03,0,0,-0.0470963,0,0,0.413385,0,0,0.0190874,0,0,0.0632746,0,0,-0.0459076,0,0
17.7317,5.65E-03,0,0,-0.0352358,0,0,0.419741,0,0,0.0142805,0,0,0.063839,0,0,-0.0500327,0,0
